"","GeneID","log2FoldChange"
"1","FBgn0036690",7.53813576241383
"2","FBgn0033592",7.29434419180429
"3","FBgn0033874",6.48405013159242
"4","FBgn0005660",6.40735988008018
"5","FBgn0039161",5.86867634256818
"6","FBgn0015714",5.71992064718164
"7","FBgn0030904",5.70070280449826
"8","FBgn0050446",5.62972232726898
"9","FBgn0053542",5.37658187493969
"10","FBgn0052318",5.29493821837651
"11","FBgn0030723",4.8507255719623
"12","FBgn0029681",4.81594990258949
"13","FBgn0038291",4.80645197587907
"14","FBgn0039332",4.78771748605413
"15","FBgn0052656",4.51488510720991
"16","FBgn0035495",4.45916630330602
"17","FBgn0029810",4.44283890685931
"18","FBgn0263994",4.33811350369858
"19","FBgn0037724",4.2970312866596
"20","FBgn0259714",4.26490165698788
"21","FBgn0038070",4.26016971612778
"22","FBgn0259977",4.25008200380274
"23","FBgn0035049",4.19625972994034
"24","FBgn0038290",4.18106214661323
"25","FBgn0033980",4.17672403610306
"26","FBgn0031461",4.14928719062595
"27","FBgn0033876",4.13140738376741
"28","FBgn0011722",4.11566167120336
"29","FBgn0031959",3.99230578308252
"30","FBgn0045038",3.98070164113319
"31","FBgn0030158",3.83182956862336
"32","FBgn0029728",3.82630270590697
"33","FBgn0004956",3.78831261052758
"34","FBgn0039323",3.68541198668064
"35","FBgn0039807",3.67082716475493
"36","FBgn0037012",3.66608026935703
"37","FBgn0031424",3.65923958279856
"38","FBgn0038246",3.65206782214332
"39","FBgn0086673",3.63949409191312
"40","FBgn0040496",3.6343241837474
"41","FBgn0034935",3.62829944522722
"42","FBgn0038837",3.60048493784503
"43","FBgn0010039",3.57940996817043
"44","FBgn0051370",3.57805157918047
"45","FBgn0034844",3.56961523251188
"46","FBgn0027836",3.50268532769499
"47","FBgn0031254",3.47133459961796
"48","FBgn0035512",3.45510154663149
"49","FBgn0031255",3.45221335789254
"50","FBgn0036046",3.43879231131329
"51","FBgn0261262",3.42700021519536
"52","FBgn0261688",3.41319254136034
"53","FBgn0000039",3.41026404650875
"54","FBgn0032082",3.38918761875996
"55","FBgn0023524",3.35991056618085
"56","FBgn0038839",3.35440072889197
"57","FBgn0058470",3.31842931224821
"58","FBgn0262895",3.26652337678305
"59","FBgn0032336",3.24714386095938
"60","FBgn0011581",3.24596752765917
"61","FBgn0028875",3.23678595829717
"62","FBgn0043841",3.2351412296912
"63","FBgn0032587",3.23207882744721
"64","FBgn0030340",3.22292580216629
"65","FBgn0050045",3.21007580866479
"66","FBgn0085449",3.20068007645341
"67","FBgn0033268",3.19349140367151
"68","FBgn0037123",3.17861028099892
"69","FBgn0026197",3.17199663939282
"70","FBgn0036324",3.1710070845525
"71","FBgn0032136",3.17045246050654
"72","FBgn0044050",3.16589054822725
"73","FBgn0039816",3.14564792599084
"74","FBgn0000633",3.13839044955064
"75","FBgn0034128",3.13784866221005
"76","FBgn0032151",3.13369815109012
"77","FBgn0035193",3.12727852489832
"78","FBgn0039396",3.12167271997888
"79","FBgn0028704",3.11728912319336
"80","FBgn0030569",3.11480327934719
"81","FBgn0032797",3.11335381112518
"82","FBgn0085447",3.10553474537666
"83","FBgn0033875",3.10476719668401
"84","FBgn0039464",3.0695981095773
"85","FBgn0033911",3.06431318312475
"86","FBgn0000099",3.053698093664
"87","FBgn0027109",3.03877569749658
"88","FBgn0051235",3.02530653981393
"89","FBgn0041087",3.02494312164234
"90","FBgn0051665",3.02422601677013
"91","FBgn0039525",3.02242455874071
"92","FBgn0004516",3.016713228798
"93","FBgn0008636",3.00639518385639
"94","FBgn0035922",3.00356760369651
"95","FBgn0085419",2.98890462225498
"96","FBgn0085404",2.97705944215006
"97","FBgn0052220",2.97393958467131
"98","FBgn0024963",2.97339233125836
"99","FBgn0250757",2.97121275494932
"100","FBgn0039319",2.97043262055188
"101","FBgn0031375",2.9687023563222
"102","FBgn0030304",2.96340806140392
"103","FBgn0262636",2.95343767788126
"104","FBgn0035553",2.94967057673352
"105","FBgn0038957",2.94867960766934
"106","FBgn0051288",2.94657223033909
"107","FBgn0011674",2.94264774848768
"108","FBgn0010038",2.9381461456819
"109","FBgn0039723",2.92085886312416
"110","FBgn0262018",2.91700652180507
"111","FBgn0046294",2.91629218926304
"112","FBgn0260793",2.91607526587483
"113","FBgn0015550",2.91208612810608
"114","FBgn0032297",2.86260974732292
"115","FBgn0039855",2.85378440975314
"116","FBgn0034493",2.84646499105363
"117","FBgn0051706",2.83939198112713
"118","FBgn0260499",2.83682451880205
"119","FBgn0037895",2.82579865383325
"120","FBgn0085383",2.82551997843645
"121","FBgn0037690",2.82123808705612
"122","FBgn0036007",2.79917985543492
"123","FBgn0051774",2.79157605422356
"124","FBgn0263132",2.78940108799319
"125","FBgn0039759",2.76581965618526
"126","FBgn0085399",2.75268713083738
"127","FBgn0036360",2.74134937151676
"128","FBgn0028644",2.74047259458126
"129","FBgn0037934",2.73752193593239
"130","FBgn0259110",2.7327621973862
"131","FBgn0035187",2.72915227365108
"132","FBgn0032651",2.72505332811822
"133","FBgn0000038",2.71436116355692
"134","FBgn0037941",2.71411698668473
"135","FBgn0034639",2.71408489549678
"136","FBgn0031169",2.71145781649239
"137","FBgn0050158",2.70570181144372
"138","FBgn0260995",2.69871027658836
"139","FBgn0053513",2.68847117396518
"140","FBgn0005658",2.67935249552573
"141","FBgn0038498",2.67849939635712
"142","FBgn0039316",2.67116316051194
"143","FBgn0033598",2.66890537370526
"144","FBgn0038202",2.6644271709305
"145","FBgn0037015",2.66300552021451
"146","FBgn0040609",2.66139519549929
"147","FBgn0032719",2.64548216710854
"148","FBgn0263512",2.64309397937443
"149","FBgn0052072",2.63014511204175
"150","FBgn0000564",2.6297072960626
"151","FBgn0030058",2.62934156889812
"152","FBgn0004118",2.62761627305112
"153","FBgn0031470",2.62477738534829
"154","FBgn0035094",2.62059409778132
"155","FBgn0086758",2.61750004077737
"156","FBgn0013433",2.60648697077996
"157","FBgn0015035",2.60475818306753
"158","FBgn0030905",2.59401485811991
"159","FBgn0041225",2.58733045255802
"160","FBgn0036612",2.57096052521765
"161","FBgn0039584",2.56887496131872
"162","FBgn0039671",2.56747368717492
"163","FBgn0262620",2.56610730847709
"164","FBgn0037519",2.56164397485968
"165","FBgn0031811",2.55571062792469
"166","FBgn0036494",2.55149774968199
"167","FBgn0033204",2.54756150218562
"168","FBgn0004896",2.54359810934132
"169","FBgn0015524",2.53917202756149
"170","FBgn0259150",2.53294306247669
"171","FBgn0031888",2.53038781366444
"172","FBgn0038087",2.52588703310152
"173","FBgn0030591",2.52343072274873
"174","FBgn0026439",2.52128722796399
"175","FBgn0035431",2.51627715644259
"176","FBgn0001983",2.50561212371578
"177","FBgn0000535",2.5022424967652
"178","FBgn0037475",2.49483068422461
"179","FBgn0032506",2.48445287328222
"180","FBgn0085391",2.48327539546533
"181","FBgn0034286",2.45631016010182
"182","FBgn0010383",2.45580866251264
"183","FBgn0031866",2.44913054937655
"184","FBgn0259226",2.44333756703536
"185","FBgn0041184",2.43684605679187
"186","FBgn0033250",2.43682803964241
"187","FBgn0004244",2.43397331781049
"188","FBgn0040262",2.42096883277322
"189","FBgn0039109",2.41675773193936
"190","FBgn0033836",2.41456455161159
"191","FBgn0027589",2.41397258677378
"192","FBgn0011582",2.40454346403774
"193","FBgn0259109",2.39866003304029
"194","FBgn0259162",2.39861280446132
"195","FBgn0036226",2.39815515801498
"196","FBgn0034741",2.39411745120729
"197","FBgn0015323",2.39063885612531
"198","FBgn0260971",2.38980555145172
"199","FBgn0034567",2.38941679550824
"200","FBgn0030258",2.38329633179886
"201","FBgn0035501",2.38115765895434
"202","FBgn0033791",2.37963247397813
"203","FBgn0263511",2.37846146760345
"204","FBgn0263218",2.36421658000885
"205","FBgn0034022",2.36155315888813
"206","FBgn0000015",2.35882837957911
"207","FBgn0039064",2.35559795923591
"208","FBgn0030964",2.35449631144828
"209","FBgn0035538",2.34299623684524
"210","FBgn0040271",2.34106093545817
"211","FBgn0264000",2.34092006954163
"212","FBgn0262476",2.33896685481999
"213","FBgn0039089",2.33204842396927
"214","FBgn0038113",2.33185109112015
"215","FBgn0053147",2.32964437260444
"216","FBgn0036995",2.32705978334985
"217","FBgn0069969",2.32544720314031
"218","FBgn0036984",2.32319381037755
"219","FBgn0033484",2.31779622200306
"220","FBgn0003129",2.31770496029021
"221","FBgn0031414",2.31598538023189
"222","FBgn0024944",2.31578466010131
"223","FBgn0085386",2.31273420689076
"224","FBgn0031089",2.30589379094694
"225","FBgn0004878",2.30116628141975
"226","FBgn0032048",2.29960018415896
"227","FBgn0015129",2.29299348174684
"228","FBgn0085438",2.28764811221525
"229","FBgn0013278",2.28727200832633
"230","FBgn0035171",2.28547537156639
"231","FBgn0000500",2.28121522380699
"232","FBgn0024897",2.27202553174917
"233","FBgn0043005",2.26804141328478
"234","FBgn0051451",2.25083640783019
"235","FBgn0030954",2.25030492135936
"236","FBgn0012344",2.24705565469224
"237","FBgn0029974",2.23249838922221
"238","FBgn0013467",2.22535414068661
"239","FBgn0005613",2.22325733733874
"240","FBgn0263846",2.22243379387392
"241","FBgn0036890",2.21638810590481
"242","FBgn0086604",2.21629936194711
"243","FBgn0063494",2.20426848896419
"244","FBgn0039683",2.20167785561038
"245","FBgn0015946",2.2014322859327
"246","FBgn0003068",2.20010418872739
"247","FBgn0039806",2.19413987999634
"248","FBgn0001258",2.1908550717164
"249","FBgn0039045",2.1853640612404
"250","FBgn0051361",2.18285117735215
"251","FBgn0034417",2.18090897773694
"252","FBgn0030929",2.177678644475
"253","FBgn0035477",2.17709411036122
"254","FBgn0000808",2.17496837071411
"255","FBgn0000395",2.17171437890779
"256","FBgn0085407",2.16929049164034
"257","FBgn0069973",2.16358930450943
"258","FBgn0000036",2.16295561050718
"259","FBgn0261548",2.16230563787202
"260","FBgn0031064",2.16227771427306
"261","FBgn0261928",2.16199809749992
"262","FBgn0085395",2.15439989848515
"263","FBgn0038358",2.15309885270819
"264","FBgn0014135",2.15139462607261
"265","FBgn0058378",2.14554609990222
"266","FBgn0039536",2.14475060243206
"267","FBgn0003380",2.1401507295274
"268","FBgn0040859",2.13913464511002
"269","FBgn0086778",2.13560567810696
"270","FBgn0036725",2.13095000432192
"271","FBgn0013279",2.13082163741306
"272","FBgn0031689",2.11997116896652
"273","FBgn0085413",2.11789179548673
"274","FBgn0029105",2.11784774245712
"275","FBgn0027571",2.11606561445611
"276","FBgn0023178",2.1160014664824
"277","FBgn0034530",2.11448749745521
"278","FBgn0262972",2.10785561280816
"279","FBgn0036369",2.0981607362162
"280","FBgn0038725",2.09620449521864
"281","FBgn0033979",2.08704433275899
"282","FBgn0052532",2.08629921399817
"283","FBgn0029955",2.0823635241426
"284","FBgn0034861",2.08116537611461
"285","FBgn0029939",2.07716276813934
"286","FBgn0038165",2.07193416764171
"287","FBgn0263772",2.07037008027015
"288","FBgn0034143",2.06978553530293
"289","FBgn0050172",2.06918437864812
"290","FBgn0052557",2.06375734360206
"291","FBgn0025878",2.05920987969457
"292","FBgn0029896",2.05814489517579
"293","FBgn0052105",2.05541834810268
"294","FBgn0051760",2.04996261202952
"295","FBgn0039203",2.04689656471388
"296","FBgn0038730",2.04551549881522
"297","FBgn0039617",2.04472690991169
"298","FBgn0025631",2.04377850181387
"299","FBgn0027788",2.04243876726977
"300","FBgn0038818",2.04177732324629
"301","FBgn0031725",2.03911938022646
"302","FBgn0034540",2.03909624700023
"303","FBgn0020637",2.0384645406029
"304","FBgn0032601",2.03807965965274
"305","FBgn0011288",2.03578256980572
"306","FBgn0031275",2.03410203339674
"307","FBgn0085428",2.02985189015687
"308","FBgn0032609",2.02828545937028
"309","FBgn0040505",2.02813276695806
"310","FBgn0041605",2.02370297965752
"311","FBgn0031850",2.01616326779544
"312","FBgn0033767",2.01293074885989
"313","FBgn0053284",2.01029470315525
"314","FBgn0028993",2.00779502015368
"315","FBgn0035245",2.00540455244274
"316","FBgn0035428",2.00388744167727
"317","FBgn0259145",1.99674022709021
"318","FBgn0051191",1.9947201312412
"319","FBgn0030706",1.99403665153748
"320","FBgn0263416",1.99361030476732
"321","FBgn0036947",1.99302976406206
"322","FBgn0051004",1.99038559356732
"323","FBgn0034731",1.9844384205371
"324","FBgn0031473",1.98395678426872
"325","FBgn0030810",1.9822102611477
"326","FBgn0038084",1.98109025117284
"327","FBgn0039474",1.98017695026828
"328","FBgn0029881",1.97946194498088
"329","FBgn0053202",1.97759882367797
"330","FBgn0263029",1.97465028889661
"331","FBgn0051140",1.97410810850469
"332","FBgn0263257",1.97129422718783
"333","FBgn0085380",1.97053664057085
"334","FBgn0036481",1.96813893139071
"335","FBgn0053517",1.9670556093815
"336","FBgn0013323",1.96237364576115
"337","FBgn0016123",1.96209592272766
"338","FBgn0033153",1.96093634686726
"339","FBgn0053512",1.96024936851084
"340","FBgn0004575",1.95464529431793
"341","FBgn0260006",1.95093459004638
"342","FBgn0033928",1.94935927848129
"343","FBgn0263177",1.94815523197289
"344","FBgn0261388",1.94568160566144
"345","FBgn0031747",1.94375718697048
"346","FBgn0035481",1.94302710905465
"347","FBgn0052600",1.94272078838914
"348","FBgn0051869",1.94266734239502
"349","FBgn0259140",1.93234734074285
"350","FBgn0052432",1.93089954527781
"351","FBgn0015400",1.93000196968868
"352","FBgn0012034",1.92697862630515
"353","FBgn0015773",1.92679500708628
"354","FBgn0263456",1.9239628823815
"355","FBgn0083991",1.92225335894045
"356","FBgn0036786",1.92153599566731
"357","FBgn0036713",1.92063168147283
"358","FBgn0052681",1.91718230185354
"359","FBgn0031468",1.9160554947404
"360","FBgn0038092",1.90993362763932
"361","FBgn0014388",1.90794762900328
"362","FBgn0036764",1.90771620819605
"363","FBgn0037993",1.9074809830898
"364","FBgn0031945",1.90661514623245
"365","FBgn0085223",1.90580196267715
"366","FBgn0024232",1.90319053179691
"367","FBgn0036040",1.89678302109974
"368","FBgn0034693",1.89430418954133
"369","FBgn0004595",1.89263701041107
"370","FBgn0030358",1.89155131071498
"371","FBgn0260933",1.89004660933431
"372","FBgn0044048",1.88950337548566
"373","FBgn0260011",1.88823548549201
"374","FBgn0026602",1.88565601042531
"375","FBgn0035948",1.88556827021834
"376","FBgn0019985",1.88537903685372
"377","FBgn0037521",1.88512489868644
"378","FBgn0039694",1.87798081765514
"379","FBgn0085421",1.87687662528411
"380","FBgn0263111",1.87639562368305
